utc_time,head,merges,ported_ts,src_lines,fn_cited,ported_real
2026-07-29T08:20:49.180707+00:00,6ce0e564f5b6,1114,1184,413335,42949,
2026-08-09T19:15:36.161081+00:00,99953c8735e2,1437,1443,495339,50926,
2026-08-09T19:18:10.403122+00:00,4da53179b002,1437,1443,495339,50926,
2026-08-09T19:24:00.835037+00:00,c9ac163603a7,1437,1443,495339,50926,8155
