fw	class	nMethods	nPorted
Flexo	FFOrganizerFilterHUDUtils	85	0
Flexo	FFLibraryContainer	84	0
Flexo	FFLibraryTask	84	0
Helium	HGColorGamma	84	0
Ozone	OZDropZonePanScanOSC	83	0
Flexo	FFOZSlaveCurve	83	0
Flexo	FFRoleColorScheme	83	0
Flexo	FFDataListLaneNode	83	0
Ozone	OZLayerListModule	82	0
Flexo	FFEffectBundlePart	82	0
Flexo	FFHeCinematicEffect	82	0
Flexo	FFInspectorModuleChannels	82	0
Flexo	FFMediaDetailContainerModule	82	0
Flexo	FFAnchoredTransition	81	0
Flexo	FFDominantMotionMediaRep	81	0
Flexo	FFDestVideoDisplay	81	0
Ozone	OZMaterialSubstanceLayer	80	0
Flexo	FFAnchoredAngle	80	0
Flexo	FFNoiseReductionScheduleToken	80	0
Flexo	FFIMovieIOSEdits	80	0
Helium	HGRenderJob	80	0
Flexo	FFInlineColorBoardInspectorController	79	0
Flexo	FFSequenceInfo	79	0
Flexo	FFEffectBundle	79	0
Flexo	FFDataListLanesOutlineCellView	79	0
Flexo	FFRetimeSettingsTool	79	0
Ozone	OZObjectManipulator	78	0
Flexo	FFHeXForm3DEffect	78	0
ProChannel	(free)	77	0
Ozone	OZMoCurveEditorCtrl	77	0
Flexo	FFSplitAudioTimelineComponent	77	0
Flexo	FFMicaTitle	77	0
Flexo	FFSegmentationMaskOSC	77	0
Flexo	FFVAMLSearchContext	77	0
ProChannel	CHChannel	76	0
Flexo	FFStabilizationEffect	76	0
Flexo	FFIsolationMask	76	0
Flexo	FFInspectorModuleColorHeaderController	76	0
Flexo	FFMDAbstractLibraryView	76	0
Flexo	FFTheaterItem	76	0
Ozone	OZMaterialFinishLayer	75	0
Ozone	OZSceneCamera	75	0
Ozone	OZTimingCoordinator	75	0
Flexo	NSString	75	0
Flexo	FFSVContext	75	0
Flexo	FFDupeDetectionMediaUsage	74	0
Flexo	FFHeCropEffect	74	0
Flexo	FFVideoScopesView	74	0
Flexo	FFViewSetEditorWindowController	74	0
Flexo	FFAudioVolumeTool	74	0
Ozone	OZDocument	73	0
Flexo	FFMediaEventSmartCollection	73	0
