fw	class	nMethods	nPorted
Ozone	std::__1::__shared_ptr_emplace<PCBitmap_t<PCGrayPixel<ProCore::Private::PixelInfoTemplate<(PCPixelFormat::ChannelOrder)14>>>, std::__1::allocator<PCBitmap_t<PCGrayPixel<ProCore::Private::PixelInfoTemplate<(PCPixelFormat::ChannelOrder)14>>>>>	4	0
Ozone	std::__1::__shared_ptr_emplace<PCBitmap_t<PCGrayAlphaPixel<ProCore::Private::PixelInfoTemplate<(PCPixelFormat::ChannelOrder)15>>>, std::__1::allocator<PCBitmap_t<PCGrayAlphaPixel<ProCore::Private::PixelInfoTemplate<(PCPixelFormat::ChannelOrder)15>>>>>	4	0
Ozone	std::__1::__shared_ptr_emplace<PCBitmap_t<PCPixel4<ProCore::Private::PixelInfoTemplate<(PCPixelFormat::ChannelOrder)16>>>, std::__1::allocator<PCBitmap_t<PCPixel4<ProCore::Private::PixelInfoTemplate<(PCPixelFormat::ChannelOrder)16>>>>>	4	0
Ozone	std::__1::__shared_ptr_emplace<PCBitmap_t<PCPixel4<ProCore::Private::PixelInfoTemplate<(PCPixelFormat::ChannelOrder)17>>>, std::__1::allocator<PCBitmap_t<PCPixel4<ProCore::Private::PixelInfoTemplate<(PCPixelFormat::ChannelOrder)17>>>>>	4	0
Ozone	std::__1::__shared_ptr_emplace<PGCVBitmap, std::__1::allocator<PGCVBitmap>>	4	0
Ozone	HgcMaskElem::State	4	0
Ozone	HgcStraight::State	4	0
Ozone	HgcViewAlpha::State	4	0
Ozone	HgcWrapMirror::State	4	0
Ozone	HgcWrapRepeat::State	4	0
Ozone	HgcMaskCompAdd::State	4	0
Ozone	HgcRetimeBlend::State	4	0
Ozone	HgcZebraStripe::State	4	0
Ozone	HgcCombineFields::State	4	0
Ozone	HgcMaskStrokeAdd::State	4	0
Ozone	HgcMaskCompReplace::State	4	0
Ozone	HgcOutOfGamutCheck::State	4	0
Ozone	HgcMaskCompSubtract::State	4	0
Ozone	HgcMaskCompFirstPass::State	4	0
Ozone	HgcMaskCompIntersect::State	4	0
Ozone	HgcOverexposureCheck::State	4	0
Ozone	HgcRetimeOpticalFlow::State	4	0
Ozone	HgcMaskStrokeSubtract::State	4	0
Ozone	HgcCopyMaskAlphaToMaskRGB::State	4	0
Ozone	HgcCopyMaskRGBToMaskAlpha::State	4	0
Ozone	HgcCombineFullHeightFields::State	4	0
Ozone	OZHeSoftGradientGeneratorShader::State	4	0
Ozone	HgcCanvas::State	4	0
Ozone	std::__1::vector<HGBinding, std::__1::allocator<HGBinding>>::_ConstructTransaction	4	0
Ozone	non-virtual thunk to OZTextStyle	4	0
Ozone	OZClickableProgressIndicator	4	0
Ozone	NSArray	4	0
Ozone	OZFxProjectHandler	4	0
Ozone	OZAudioWaveformCompletion	4	0
Ozone	OZLayerOpacityCell	4	0
Ozone	OZLayerBlendCell	4	0
Ozone	NSTableColumn	4	0
Ozone	OZFootageInspectorController	4	0
Ozone	OZTimelineAudioNodeWrapper	4	0
Ozone	OZLinkedObjectsController	4	0
Ozone	OZSplitView	4	0
Ozone	OZViewRectCache	4	0
Ozone	OZTimelineKeyframesDragWrapper	4	0
Ozone	OZFxAnalysisErrorHandler	4	0
Ozone	OZPresetRenameHandler	4	0
Ozone	OZMoveableImageDragTargetCompletion	4	0
Ozone	OZViewerRenderController	4	0
Ozone	OZCaarExportSceneFactory	4	0
Ozone	OZImageMaskInspectorController	4	0
Ozone	TBTableView	4	0
Ozone	OZErrorDialogHelper	4	0
Ozone	ProgressStatus	4	0
Ozone	ByteOffsetPair	4	0
Ozone	OZChanProgressController	4	0
Ozone	PrivateLabeledParamController	4	0
Ozone	OZEndConditionController	4	0
Ozone	CompassTimerHelper	4	0
Ozone	OZCameraHUDController	4	0
Ozone	OZChanTransformSwitchController	4	0
Ozone	OZRectToolOptions	4	0
Ozone	OZMaskRectToolOptions	4	0
Ozone	OZLightHUDController	4	0
Ozone	OZFxPlugHostPropertiesAPI	4	0
Ozone	OZFxPrincipalDelegate	4	0
Ozone	OZChanEnumDimensionController	4	0
Ozone	OZSceneComposer	4	0
Ozone	OZMaterialOptionsFolderGroupController	4	0
Ozone	OZChannelGradientPositionedGeneratorOSC	4	0
Ozone	OZMoCurveEditorListController	4	0
Ozone	OZTCMPopUpButtonCell	4	0
Ozone	OZProjectPropertiesTextPulsator	4	0
Ozone	OZImageElementInspectorController	4	0
Ozone	OZ3DEngineSceneFileInspectorController	4	0
Ozone	OZAudioBalanceTransformer	4	0
Ozone	OZResetControlPointCtrl	4	0
Ozone	OZModuleLayoutManager	4	0
Ozone	OZTimerDelegate	4	0
Flexo	std::__1	4	0
Flexo	SCurve	4	0
Flexo	OZInterpolator	4	0
Flexo	OMHistoAnalysis	4	0
Flexo	OZCurveEnum	4	0
Flexo	std::__1::__shared_ptr_emplace<FFStreamFlexMusicBuffer, std::__1::allocator<FFStreamFlexMusicBuffer>>	4	0
Flexo	DisablePrioritizedWritesRAII	4	0
Flexo	ProhibitFFSharedLockRAII	4	0
Flexo	ProhibitFFSharedWriteLockRAII	4	0
Flexo	std::__1::__shared_ptr_emplace<FFSemaphore, std::__1::allocator<FFSemaphore>>	4	0
Flexo	FFAudioUnitParameterList	4	0
Flexo	FFOZSlaveCurve::ValueMap	4	0
Flexo	HMaskCompFirstPass	4	0
Flexo	HMaskElem	4	0
Flexo	OZCurveAngle	4	0
Flexo	non-virtual thunk to FFOZShapeMaskFolder	4	0
Flexo	FFActiveVAMLBackgroundMattingCache	4	0
Flexo	FFNRRendererInfoManager	4	0
Flexo	std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>	4	0
Flexo	std::__1::__shared_ptr_emplace<FFPRRawSdkRenderer, std::__1::allocator<FFPRRawSdkRenderer>>	4	0
Flexo	std::__1::__shared_ptr_emplace<FFVTRAWRenderer, std::__1::allocator<FFVTRAWRenderer>>	4	0
Flexo	FFVideoScopesRenderer<histogram_state_t, 4ul>	4	0
Flexo	FFVideoScopesRenderer<vectorscope_state_t, 2ul>	4	0
Flexo	FFVideoScopesRenderer<waveform_state_t, 3ul>	4	0
Flexo	ProResRaw::PluginObject	4	0
Flexo	ProResRaw::PluginDescriptor	4	0
Flexo	std::__1::__shared_ptr_emplace<ProResRaw::PluginHandlerXpc, std::__1::allocator<ProResRaw::PluginHandlerXpc>>	4	0
Flexo	ProResRaw::PluginContextXpc	4	0
Flexo	ProResRaw::PluginMetadataXpc	4	0
Flexo	ProResRaw::PluginMetalProcessorXpc	4	0
Flexo	ProResRaw::PluginSettingsContextXpc	4	0
Flexo	std::__1::__shared_ptr_emplace<ProResRaw::PluginContextXpc, std::__1::allocator<ProResRaw::PluginContextXpc>>	4	0
Flexo	std::__1::__shared_ptr_emplace<ProResRaw::PluginMetadataXpc, std::__1::allocator<ProResRaw::PluginMetadataXpc>>	4	0
Flexo	std::__1::__shared_ptr_emplace<ProResRaw::PluginSettingsContextXpc, std::__1::allocator<ProResRaw::PluginSettingsContextXpc>>	4	0
Flexo	std::__1::__shared_ptr_emplace<ProResRaw::PluginSettingsSnapshotXpc, std::__1::allocator<ProResRaw::PluginSettingsSnapshotXpc>>	4	0
Flexo	std::__1::__shared_ptr_emplace<ProResRaw::PluginMetalProcessorXpc, std::__1::allocator<ProResRaw::PluginMetalProcessorXpc>>	4	0
Flexo	std::__1::__shared_ptr_emplace<ProResRaw::PluginSettingsController::createSettingsController()::make_shared_enabler, std::__1::allocator<ProResRaw::PluginSettingsController::createSettingsController()::make_shared_enabler>>	4	0
Flexo	std::__1::__shared_ptr_emplace<ProResRaw::PluginMultiSettingsController, std::__1::allocator<ProResRaw::PluginMultiSettingsController>>	4	0
Flexo	std::__1::__shared_ptr_emplace<ProResRaw::PluginParams, std::__1::allocator<ProResRaw::PluginParams>>	4	0
Flexo	std::__1::__shared_ptr_emplace<ProResRaw::PluginSettingsController::PluginData, std::__1::allocator<ProResRaw::PluginSettingsController::PluginData>>	4	0
Flexo	std::__1::vector<bool, std::__1::allocator<bool>>	4	0
Flexo	FFOSCPointConversionData	4	0
Flexo	FFDestAudioStartTimebaseRenderHook::StartTimebaseTask	4	0
Flexo	FFAudioRenderHook	4	0
Flexo	FFWorkerQueue::Task	4	0
Flexo	std::__1::__shared_ptr_emplace<FFAudioGraph, std::__1::allocator<FFAudioGraph>>	4	0
Flexo	std::__1::__shared_ptr_emplace<FFAudioPlaybackSkipStylePlaybackBuffer, std::__1::allocator<FFAudioPlaybackSkipStylePlaybackBuffer>>	4	0
Flexo	UpdateBufferWorkerTask	4	0
Flexo	std::__1::__shared_ptr_emplace<FFAudioPlaybackScrubBuffer, std::__1::allocator<FFAudioPlaybackScrubBuffer>>	4	0
Flexo	FFAudioQueueBuffer::UpdateBufferWorkerTask	4	0
Flexo	std::__1::__shared_ptr_emplace<FFAudioRetimingBuffer, std::__1::allocator<FFAudioRetimingBuffer>>	4	0
Flexo	UpdateScrubRateTask	4	0
Flexo	FFAudioScrubUnit::GainStagesRenderHook	4	0
Flexo	std::__1::__shared_ptr_emplace<FFAudioPlaybackSkipStyleScrubBuffer, std::__1::allocator<FFAudioPlaybackSkipStyleScrubBuffer>>	4	0
Flexo	std::__1::__shared_ptr_emplace<FFAudioPlaybackSkipStyleStepPlaybackBuffer, std::__1::allocator<FFAudioPlaybackSkipStyleStepPlaybackBuffer>>	4	0
Flexo	FFVideoSourceData	4	0
Flexo	FFScheduledReadAudioFile::ScheduleReadAheadWorkerTask	4	0
Flexo	FFLocklessQueue<CMIOPlaybackTimebaseStartedSignal>	4	0
Flexo	FFAudioRecorderBufferWriteTaskQueue	4	0
Flexo	FFAudioRenderTimeChangeHook	4	0
Flexo	FFConsecutiveFlushCounter	4	0
Flexo	FFPendingShutdowns	4	0
Flexo	CacheRecord	4	0
Flexo	FFAVFMetadataCursor	4	0
Flexo	SetPixelBufferAttributes	4	0
Flexo	void FFVideoDecoder	4	0
Flexo	PixelFormatListManager	4	0
Flexo	non-virtual thunk to FFAudioDynamicScopingWindow	4	0
Flexo	FFAudioEffectsBuss::EffectStackChain::Element	4	0
Flexo	FFAudioGainChannelConstantValueBuffer	4	0
Flexo	FFAudioPlaybackMediator_macOS	4	0
Flexo	FFVideoPropsGroup	4	0
Flexo	std::__1::__shared_ptr_emplace<FFAudioSamplesCache::Block, std::__1::allocator<FFAudioSamplesCache::Block>>	4	0
Flexo	std::__1::__shared_ptr_emplace<FFAudioSamplesCache::SubCache, std::__1::allocator<FFAudioSamplesCache::SubCache>>	4	0
Flexo	std::__1::__shared_ptr_emplace<FFAudioSamplesCache::Request, std::__1::allocator<FFAudioSamplesCache::Request>>	4	0
Flexo	LTCFrame	4	4
Flexo	FFScopedVoiceIsolationEffect	4	0
Flexo	ausdk::AUException	4	0
Flexo	AUGainStage::AULevelKernel	4	0
Flexo	ausdk::AUIOElement	4	0
Flexo	Panner	4	0
Flexo	AUUnityMixer::BusHandler	4	0
Flexo	STBuiltinAudioUnitsRegistrar	4	0
Flexo	OZCurveDouble	4	0
Flexo	PCShared_base	4	0
Flexo	CustomPixelFormatRegistry	4	0
Flexo	FFDecodeCostInfo_AdjustedPPF	4	0
Flexo	WorkerThread::Task	4	0
Flexo	FFWorkerQueueThread	4	0
Flexo	videoanalysis::collation::box_t	4	0
Flexo	MXFH264Parser	4	0
Flexo	VlcParser	4	0
Flexo	MXF::MXFPictureDataDecoder	4	0
Flexo	MXF::MXFAVCPictureDataDecoder	4	0
Flexo	FFConsumerBalanceColorEffect	4	0
Flexo	FFCBUtils	4	0
Flexo	FFPentaSliderBlackLevelThumbCell	4	0
Flexo	FFPentaSliderWhiteLevelThumbCell	4	0
Flexo	FFPentaSliderBrightnessThumbCell	4	0
Flexo	FFColorIMovieLabelController	4	0
Flexo	FFColorIMovieParameterController	4	0
Flexo	FFSoftnessSlider	4	0
Flexo	FFStreamAudioToneGenerator	4	0
Flexo	FFAnchoredSequenceBackgroundGeneratorComponent	4	0
Flexo	FFAnchoredSelectionMarker	4	0
Flexo	FFEffectStackActivateEffectScopeEntry	4	0
Flexo	FFBlindDataCustomUIChannel	4	0
Flexo	FFChan360TransformCustomChannelController	4	0
Flexo	FFChanDoublePercentToSourcePixelController	4	0
Flexo	FFColorCorrectionUIChannel	4	0
Flexo	FFActionContext	4	0
Flexo	FFTimingMetadataEntrySnappableEvent	4	0
Flexo	FFMediaIdentifierAliasMapEntry	4	0
Flexo	FFMediaEventUndoTracker	4	0
Flexo	FFMappedCollectionBase	4	0
Flexo	FFNamingPresetMockBinObject	4	0
Flexo	FFAudioDuckingWriteChannelsInfo	4	0
Flexo	FFUndoScopeException	4	0
Flexo	FFNavPlayhead	4	0
Flexo	FFNavFocus	4	0
Flexo	FFVolumeDFRSliderCell	4	0
Flexo	FFDisableAudioComponentsCommand	4	0
Flexo	EDTEmptyTimeRangeSupportIntersectionDelegate	4	0
Flexo	FFVerticalNudgeDownItemsIterator	4	0
Flexo	FFTimelineSelectAllSubtitlesStrategy	4	0
Flexo	FFTimelineStorylineItemExclusionFilter	4	0
Flexo	FFTimelinePresentationSelectionMediator	4	0
Flexo	FFEditingModelCoordinatorFactory	4	0
Flexo	FFTimelineIndexFilterToken	4	0
Flexo	FFTrimAudioAdapter	4	0
Flexo	FFTimelineReloadOperationCancelingNotifier	4	0
Flexo	FFAudioUnitEffectFactoryPresetInfo	4	0
Flexo	FFAudioUnitEffectPresetMenu	4	0
Flexo	FFAudioUnitMatchEQEffect	4	0
Flexo	FFSharedAudioUnitPoolAllocationEntry	4	0
Flexo	iMovieDataLayer	4	0
Flexo	iMovieLayoutChildLayer	4	0
Flexo	iMovieZoomingTextLayer	4	0
Flexo	iMovieZoomingTextWithBounceLayer	4	0
Flexo	MapUtils	4	0
Flexo	FFInnerOuterCorrectionEffect	4	0
Flexo	FFInnerOuterCorrectionNonHDREffect	4	0
Flexo	FFColorMatchUserParameterController	4	0
Flexo	FFEllipseMaskAnimStateCell	4	0
Flexo	FFIOColorCorrectionFolderController	4	0
Flexo	FFIOColorCorrectionParamController	4	0
Flexo	FFIsoSoftnessSlider	4	0
Flexo	FFIsolationSaturationQualifierController	4	0
Flexo	FFIsolationLumaQualifierController	4	0
Flexo	FFIsolationSoftnessController	4	0
Flexo	FFMaskBaseLabelController	4	0
Flexo	FFShapeMaskFolderController	4	0
Flexo	FFDefaultDropBoxOSC	4	0
Flexo	FFFilmOrViewerOutlineOSC	4	0
Flexo	FFViewerOutlineOSC	4	0
Flexo	FFSemanticOSC	4	0
Flexo	FFSourceAudioEffect	4	0
Flexo	FFColorCorrectionHDREffect	4	0
Flexo	_FFEffectUICoordinator	4	0
Flexo	FFCachedSimplifiesInfo	4	0
Flexo	FFCachedSubRangeInfo	4	0
Flexo	FFEffectNodePlaceholderImageLookupFromPathInfo	4	0
Flexo	FFEffectNodePlaceholderImageLookupFromBundleAndKey	4	0
Flexo	FFEffectNodePlaceholderImageLookupFromBundleMessageAndKey	4	0
Flexo	FFEffectTimer	4	0
Flexo	FFSourceAudioRateConformEffect	4	0
Flexo	FFRetimingAudioSegmentListObject	4	0
Flexo	FFRetimingAudioRateRange	4	0
Flexo	FFBeatGridLineLayer	4	0
Flexo	FFBackgroundAnalysisTask	4	0
Flexo	FFFileImportRejectedDialogController	4	0
Flexo	FFBoundHGNodeCustomReleaser	4	0
Flexo	FFHGObjectInfo	4	0
Flexo	FFARRILogCDefaultToneMapProcessingInfo	4	0
Flexo	FFMediaUsageMediaSourceChannelsCache	4	0
Flexo	FFAudioAnalysisConfigEffectSliderController	4	0
Flexo	FFAudioComponentsConfigCombinedComponentWaveform	4	0
Flexo	FFAudioComponentsConfigSectionComponentWaveform	4	0
Flexo	FFDoubleClickableSlider	4	0
Flexo	FFCPSView	4	0
Flexo	FFDataListCaptionsTableRowView	4	0
Flexo	FFDataListLanesOutlineView	4	0
Flexo	FFTitlePreviewPlaceholderManager	4	0
Flexo	FFEffectLibraryHeaderView	4	0
Flexo	_FFExternalProviderWindow	4	0
Flexo	FFInspectorAudioEffectChannelController	4	0
Flexo	FFInspectorAudioEffectsBrickFolderHeadingController	4	0
Flexo	FFInspectorLegacyAudioEffectsController	4	0
Flexo	FFInspectorAudioResetPulldownController	4	0
Flexo	FFInspectorAccessoryView	4	0
Flexo	FFInspectorBaseFolderBackgroundDrawer	4	0
Flexo	FFInspectorEffectsAppearance	4	0
Flexo	FFInspectorFileInfoEventTile	4	0
Flexo	FFInspectorFileInfoLocationTile	4	0
Flexo	FFInspectorFileInfoMediaExtensionMultipleValues	4	0
Flexo	FFInspectorFileInfoMediaRepsTile	4	0
Flexo	FFInspectorFileInfoProResRAWTile	4	0
Flexo	FFInspectorFileInfoRAWProcessorTile	4	0
Flexo	FFInspectorFileInfoREDTile	4	0
Flexo	FFInspectorChannelChangeInfo	4	0
Flexo	_FFLibraryStorageLocationsController	4	0
Flexo	_FFMetadataRolesItem	4	0
Flexo	_FFMetadataStaticTextParameterController	4	0
Flexo	_FFProjectSharingAttributesHeaderController	4	0
Flexo	FFInspectorModuleSplitPropertiesColorMasks	4	0
Flexo	FFInspectorRootViewControllerDummyPasteboardWriter	4	0
Flexo	FFInspectorControllerRowView	4	0
Flexo	FFInspectorHeaderCellView	4	0
Flexo	FFInspectorMaskEffectsDraggingOwner	4	0
Flexo	FFOrganizerFilmstripDurationLayer	4	0
Flexo	FFOrganizerFrameDurationTickMarkValueTransformer	4	0
Flexo	FFOrganizerUsedMediaRangeCollection	4	0
Flexo	FFAddFavoriteOperation	4	0
Flexo	FFAutoCompleteOperation	4	0
Flexo	FFImportOrganizerSplitView	4	0
Flexo	FFMDAllProjectsCreateProjectItem	4	0
Flexo	FFMDPhotoStackCell	4	0
Flexo	FFImportMediaSidebarNodeUtils	4	0
Flexo	FF360FooterView	4	0
Flexo	FFHeaderBackgroundView	4	0
Flexo	FFAnchoredObjectsRolesMenuContext	4	0
Flexo	FFRolesPopUpButton	4	0
Flexo	FFCompressorAvailability	4	0
Flexo	FFShareDestinationVideoPresetsMakerVideoCase	4	0
Flexo	FFShareDestinationVideoResolutionMenuMakerMXF	4	0
Flexo	FFSharePixelmatorErrorRecovery	4	0
Flexo	FFSharePixelmatorImageFormatMenuDelegate	4	0
Flexo	FFHistogramUnitTextLayer	4	0
Flexo	FFWaveformParadeBackgroundLayer	4	0
Flexo	_FFDestVideoScopesMetalContextData	4	0
Flexo	OKPaneCapItemSidebarHeader	4	0
Flexo	FFAudioUnitEffectRootChannelFolderGroupController	4	0
Flexo	PRRawPluginParams	4	0
Flexo	FFRAWSettingsSnapshot	4	0
Flexo	FFTitleDocumentView	4	0
Flexo	FFTitleTextFieldCell	4	0
Flexo	FFTransportDraggableBackgroundView	4	0
Flexo	_FFProOSCGeneratedFeedback	4	0
Flexo	FFOSCWindowView	4	0
Flexo	FFTransform3DOSC	4	0
Flexo	FFAccessibilityTransparentView	4	0
Flexo	FFOutlineBackgroundView	4	0
Flexo	FFDestAudio	4	0
Flexo	FFCVOGLAndIOSurfaceBacker	4	0
Flexo	FFRenderedMD5InfoForFrame	4	0
Flexo	FFPlayerBGInfo	4	0
Flexo	FFReducedRateTrackerTime	4	0
Flexo	FFCloudContentProvider	4	0
Flexo	FFAVFSampleBufferGeneratorBatch	4	0
Flexo	FFSourceVideoFigCachedMD5Info	4	0
Flexo	FFStreamMetadataFig	4	0
Flexo	FFSoundDesignerIISupportResourceLoaderDelegate	4	0
Flexo	FFAudioDynamicScopingWindowList	4	0
Flexo	FFAudioEffectsRendererDelegate	4	0
Flexo	PEAnchorLayer	4	0
Flexo	PEOffscreenItemIndicatorLayer	4	0
Flexo	FFObjectExternalEffectsMap	4	0
Flexo	FFStreamMetadata	4	0
Flexo	FFResponderLayerRoleTintedCheckbox	4	0
Flexo	FFCurveEditorKeyframeAssets	4	0
Flexo	FFCurveEditorForegroundLayer	4	0
Flexo	FFCurveSnapPoint	4	0
Flexo	FFAudioUnitEffectCurveEditorLayer	4	0
Flexo	FFResponderLayerHostViewTrackingAreaOwner	4	0
Flexo	FFAnchorTool	4	0
Flexo	FFBladeAllTool	4	0
Flexo	FFMetadataTool	4	0
Flexo	FFOrientationTool	4	0
Flexo	FFRetimeTool	4	0
Flexo	FFKeywordTransformer	4	0
Flexo	FFSharePanelMultitrackParentBrick	4	0
Flexo	FFSharePanelRolesTreeBuilder_Multitrack	4	0
Flexo	FFSharePanelRolesTreeBuilder_Multitrack_Heterogeneous	4	0
Flexo	FFQTMovieExporter	4	0
Flexo	NSError	4	0
Flexo	NSDateComponents	4	0
Flexo	NSScreen	4	0
Flexo	FFMXFAudioMultiChannel	4	0
Flexo	FFMXFAudioPacked	4	0
Flexo	FFMXFAudioSplitToMono	4	0
Flexo	FFImageSegmentReadSampleWaitForSampleBuffer	4	0
Flexo	FFEventNameFormatter	4	0
Flexo	FFRolesFormatter	4	0
Flexo	FFRoleUIDsFormatter	4	0
Flexo	FFCSWithStandard	4	0
Flexo	FFDispatchQueueObject	4	0
Flexo	FFCGLContextWrapper	4	0
Flexo	FFPMRLogFunnel	4	0
Flexo	FFIsNotZeroValueTransformer	4	0
Flexo	FFZipFileExtractor_SFU	4	0
Flexo	FFVideoAnalysisCollatedSaliency	4	0
Flexo	FFXMLAudioPreflightCheckCacheEntry	4	0
Flexo	FFXMLTranslation	4	0
Flexo	FFRemoteURL	4	0
Flexo	_TtC5FlexoP33_1E7353291A63ACF99CAF1971EAF7F93530FFImagePlaygroundDelegateProxy	4	0
Flexo	_TtC5Flexo37FFAnalysisSearchWarningViewController	4	0
Helium	std::__1	4	0
Helium	void std::__1::__split_buffer<HGRenderJob**, std::__1::allocator<HGRenderJob**>>	4	0
Helium	void std::__1::__split_buffer<HGNode**, std::__1::allocator<HGNode**>>	4	0
Helium	void std::__1::__split_buffer<HGUserJob**, std::__1::allocator<HGUserJob**>>	4	0
Helium	void std::__1::__split_buffer<HGNode const**, std::__1::allocator<HGNode const**>>	4	0
Helium	HGMipmapLevel	4	0
Helium	HGLayerParams	4	0
Helium	HRasterizerGenerator	4	0
Helium	soDeinterlaceLA	4	0
Helium	HGSMixer	4	0
Helium	HGTextureManager::TexturePoolLock	4	0
Helium	HGTexturePaddingPolicy	4	0
Helium	HGTexturePoolHandle	4	0
Helium	HGTextureManagerHandle	4	0
Helium	HRasterizerTextureNoColor	4	0
Helium	std::__1::__shared_ptr_emplace<(anonymous namespace)::TextureAllocator, std::__1::allocator<(anonymous namespace)::TextureAllocator>>	4	0
Helium	HGDitherLUTInfo	4	0
Helium	HGDitherLUTEntry	4	0
Helium	HgcApply3DLUTTrilinearUniform	4	0
Helium	HgcApply3DLUTTrilinearFast	4	2
Helium	HgcApply3DLUTTrilinear	4	0
Helium	HgcApply3DLUTTetrahedralUniform	4	0
Helium	HgcApply3DLUTTetrahedralFast	4	0
Helium	HgcApply3DLUTTetrahedral	4	0
Helium	HGAutoReleasePoolScopeGuard	4	4
Helium	HGCInterlaceHandler_ExtractField	4	0
Helium	HGCInterlaceHandler_InterlaceFields	4	0
Helium	__HGStats_private::operator<<(std::__1::basic_ostream<char, std::__1::char_traits<char>>&, __HGStats_private::RoiStatsOut	4	0
Helium	glsl	4	0
Helium	HGArray<int, (HGFormat)36>	4	0
Helium	HGDemosaicImplementation	4	0
Helium	HDemosaic_2	4	0
Helium	HGCRetimeWithFlowInterpFullRez	4	0
Helium	HGCRetimeWithFlowInterpVariableRez	4	4
Helium	PlanarToRGB<HgcYUV444TriPlanar_601ToRGB>	4	0
Helium	PlanarToRGB<HgcYUV444BiPlanar_601ToRGB>	4	0
Helium	PlanarToRGB<HgcYUV444TriPlanar_2020ToRGB>	4	0
Helium	PlanarToRGB<HgcYUV444BiPlanar_2020ToRGB>	4	0
Helium	PlanarToRGB<HgcYUV444TriPlanar_709ToRGB>	4	0
Helium	PlanarToRGB<HgcYUV444BiPlanar_709ToRGB>	4	0
Helium	PlanarToRGB<HgcYUV422TriPlanar_601ToRGB>	4	0
Helium	PlanarToRGB<HgcYUV422BiPlanar_601ToRGB>	4	0
Helium	PlanarToRGB<HgcYUV422TriPlanar_2020ToRGB>	4	0
Helium	PlanarToRGB<HgcYUV422BiPlanar_2020ToRGB>	4	0
Helium	PlanarToRGB<HgcYUV422TriPlanar_709ToRGB>	4	0
Helium	PlanarToRGB<HgcYUV422BiPlanar_709ToRGB>	4	0
Helium	PlanarToRGB<HgcYUV420TriPlanar_601ToRGB>	4	0
Helium	PlanarToRGB<HgcYUV420BiPlanar_601ToRGB>	4	0
Helium	PlanarToRGB<HgcYUV420TriPlanar_2020ToRGB>	4	0
Helium	PlanarToRGB<HgcYUV420BiPlanar_2020ToRGB>	4	0
Helium	PlanarToRGB<HgcYUV420TriPlanar_709ToRGB>	4	0
Helium	PlanarToRGB<HgcYUV420BiPlanar_709ToRGB>	4	0
Helium	HRasterizerTexture	4	0
Helium	HGRendererOutput	4	0
Helium	HGCPixelFormatConversion_kV4B_WXYZ_input	4	0
Helium	HGCPixelFormatConversion_kV4S_WXYZ_input	4	0
Helium	HGCPixelFormatConversion_kV4F_WXYZ_input	4	0
Helium	HGCPixelFormatConversion_kV4S_BE_WXYZ_input	4	0
Helium	HGCPixelFormatConversion_kV4B10Bit_BE_input	4	0
Helium	HGCColorGamma_bias	4	0
Helium	HGCColorGamma_chroma_downsample_f1	4	0
Helium	HGDitherNoise	4	0
Helium	std::__1::__shared_ptr_emplace<HGCPUComputeDevice, std::__1::allocator<HGCPUComputeDevice>>	4	0
Helium	std::__1::__shared_ptr_emplace<HGGPUComputeDevice, std::__1::allocator<HGGPUComputeDevice>>	4	0
Helium	HGPagePullTexturesGuard	4	0
Helium	HGPagePullMetalTexturesGuard	4	0
Helium	HGNodeInput	4	0
Helium	HGStackStateGuard	4	0
Helium	HGCGL	4	0
Helium	HGGLState::SetCurrentContextGuard	4	0
Helium	std::__1::__shared_ptr_emplace<(anonymous namespace)::HeapAllocator, std::__1::allocator<(anonymous namespace)::HeapAllocator>>	4	0
Helium	std::__1::__shared_ptr_emplace<(anonymous namespace)::HeapTextureAllocator, std::__1::allocator<(anonymous namespace)::HeapTextureAllocator>>	4	0
Helium	HGPool::EntryEventHandler<id<MTLTexture>, HGMetalTexturePool::Descriptor>	4	0
Helium	std::__1::__shared_ptr_emplace<(anonymous namespace)::BufferWrapperAllocator, std::__1::allocator<(anonymous namespace)::BufferWrapperAllocator>>	4	0
Helium	std::__1::__shared_ptr_emplace<(anonymous namespace)::TextureWrapperAllocator, std::__1::allocator<(anonymous namespace)::TextureWrapperAllocator>>	4	0
Helium	HGPool::EntryEventHandler<id<MTLTexture>, HGMetalTextureWrapperInfinipool::Descriptor>	4	0
Helium	std::__1::__shared_ptr_emplace<(anonymous namespace)::BufferAllocator, std::__1::allocator<(anonymous namespace)::BufferAllocator>>	4	0
Helium	HGCRetimeFullRez	4	2
Helium	HGCRetimeVariableRez	4	0
Helium	HGOBJ	4	0
Helium	std::__1::__shared_ptr_emplace<(anonymous namespace)::HeapPoolFixedAllocationPolicy<0, 2097152>, std::__1::allocator<(anonymous namespace)::HeapPoolFixedAllocationPolicy<0, 2097152>>>	4	0
Helium	std::__1::__shared_ptr_emplace<(anonymous namespace)::BufferPoolFixedAllocationPolicy<0, 1024>, std::__1::allocator<(anonymous namespace)::BufferPoolFixedAllocationPolicy<0, 1024>>>	4	0
Helium	std::__1::__shared_ptr_emplace<(anonymous namespace)::TexturePoolProgressivePOTAllocationPolicy<-2, 9>, std::__1::allocator<(anonymous namespace)::TexturePoolProgressivePOTAllocationPolicy<-2, 9>>>	4	0
